Jahr,Medizin,BA INF,MA INF,DIPL INF,BA MML,MA MML,BA MLS,MA MLS,BA MIW,MA MIW,BA Medi Inf ,MA Medi Inf,BA Medien Inf,MA Medien Inf,BA PSY,MA PSY,BA Pflege,MA Pflege,MA ENTR,INFEC BIO,Quelle
1964,,,,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,
1975,,,,,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,https://www.uni-luebeck.de/aktuelles/pressemitteilung/artikel/114-absolventen-87-doktortitel-drei-stipendien-und-ein-universitaetspreis.html
2003,,,,,,,,,,,,,,,,,,,,,https://www.uni-luebeck.de/aktuelles/pressemitteilung/artikel/77-promotionen-und-die-ersten-bachelor-abschluesse.html
2004,91,,,10,,,3,,,,,,,,,,,,,,https://www.uni-luebeck.de/aktuelles/pressemitteilung/artikel/feierliche-amtseinfuehrung-des-neuen-rektorats.html
2005,96,4,,14,13,,1,,,,,,,,,,,,,,https://www.uni-luebeck.de/aktuelles/pressemitteilung/artikel/174-erfolgreiche-abschluesse-im-sommersemester-2006.html
2006,138,1,,10,13,0,2,1,,,,,,,,,,,,,https://www.uni-luebeck.de/aktuelles/pressemitteilung/artikel/248-erfolgreiche-abschluesse-im-sommersemester-2007.html
2007,191,9,3,33,11,8,24,30,,,,,,,,,,,,,https://www.uni-luebeck.de/aktuelles/pressemitteilung/artikel/uni-luebeck-478-erfolgreiche-abschluesse-200708.html
2008,174,18,6,27,4,6,37,23,,,,,,,,,,,,,https://www.uni-luebeck.de/aktuelles/pressemitteilung/artikel/die-universitaet-luebeck-verabschiedet-ihre-absolventinnen-und-absolventen.html
2009,168,37,6,24,9,5,37,19,,,,,,,,,,,,,https://www.uni-luebeck.de/aktuelles/pressemitteilung/artikel/die-universitaet-luebeck-verabschiedet-ihre-absolventinnen-und-absolventen-2010.html
2010,184,34,12,23,11,4,50,20,27,15,,,,,,,,,,,https://www.uni-luebeck.de/aktuelles/pressemitteilung/artikel/abschied-von-537-absolventinnen-und-absolventen.html
2011,153,45,40,19,21,10,57,40,33,,,,,,,,,,,,https://www.uni-luebeck.de/aktuelles/pressemitteilung/artikel/die-universitaet-luebeck-verabschiedet-ihre-absolventinnen-und-absolventen-2012.html
2012,194,,,22,12,,,,,,,,,,,,,,,,https://www.uni-luebeck.de/aktuelles/pressemitteilung/artikel/verabschiedung-der-absolventinnen-und-absolventen.html
2013,104,65,,,10,,38,,61,,,,,,,,,,,,https://www.uni-luebeck.de/aktuelles/nachricht/artikel/bachelor-absolventenfeier/1.html
2014,203,58,40,,26,17,52,30,55,37,3,,,,,,,,,12,https://www.uni-luebeck.de/studium/studiengaenge/entrepreneurship-in-digitalen-technologien/aktuelles-zum-studiengang-edt/aktuelles-zum-studiengang-edt/artikel/festlich-und-froehlich-bachelor-absolventenfeier.html
2015,204,59,,,22,,56,,53,,14,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,
