Jahr,Studierende insgesamt,Erstis,Erstis weiblich,Erstis ausländisch,Erstis Medizin,Erstis Medizin weiblich,Erstis Informatik,Erstis Informatik weiblich,Anwendungsfach Bioinformatik,Anwendungsfach Medizinische Informatik,Anwendungsfach Medieninformatik,Anwendungsfach Robotik und Automation,Diplom,Bachelor,Erstis MLS,Erstis MLS weiblich,Erstis CLS/MML,Erstis CLS/MML weiblich,Erstis MIW,Erstis MIW weiblich,Erstis Medizinische Informatik,Erstis Medizinische Informatik weiblich,Erstis Psychologie,Erstis Psychologie weiblich,Master,Master extern,Master Informatik,Master MLS,Master CLS/MML,Master Digital Media,Master Medical Technology,Quelle
1992,1436,200,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.luebeck.org/file/stat_jahrb_hl_08.pdf
1993,1512,229,,,200,,29,,,,,,,,,,,,,,,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/100-neue-informatiker-2001-studierende-insgesamt.html
1994,1562,239,,,200,,39,,,,,,,,,,,,,,,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/100-neue-informatiker-2001-studierende-insgesamt.html
1995,,269,,,200,,69,,,,,,,,,,,,,,,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/100-neue-informatiker-2001-studierende-insgesamt.html
1996,1713,278,,,200,,78,,,,,,,,,,,,,,,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/100-neue-informatiker-2001-studierende-insgesamt.html
1997,1810,262,,,200,,62,,,,,,,,,,,,,,,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/100-neue-informatiker-2001-studierende-insgesamt.html
1998,1875,287,,,200,,87,,,,,,,,,,,,,,,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/100-neue-informatiker-2001-studierende-insgesamt.html
1999,1952,317,,,211,"62,5%",106,"24,6%",,,,,,,,,,,,,,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/100-neue-informatiker-2001-studierende-insgesamt.html
2000,2052,369,,,215,67%,154,30%,,,,,117,37,,,,,,,,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/45-prozent-mehr-neue-informatiker-hoher-frauenanteil-studienreform-in-der-medizin.html
2001,2227,514,"54,5%",8%,188,"67,55%",117,"21,4%",,,,,,,209,"61,24%",,,,,,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/393-prozent-mehr-einschreibungen-als-im-vorjahr.html
2002,2294,399,"54,4%","7,1%",190,,104,,,,,,,,80,,25,68%,,,,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/weiter-steigende-studierendenzahl-an-der-luebecker-universitaet.html
2003,2420,376,,,177,,114,,,,,,85,29,60,,25,,,,,,,,,,,,,,,
2004,2449,447,53%,"10,3%",209,,113,,,,,,,,102,,23,,,,,,,,,,,,,11,14,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/semestereroeffnung-erstmals-in-st-petri-als-neuer-universitaetskirche.html
2005,2425,346,"59,96%",,186,74%,98,"25,5%",8,20,55,9,52,46,52,,10,,,,,,,,85,,2,31,10,16,26,Studierenden Service Center
2006,2424,405,,,177,65%,133,"22,6%",15,20,67,19,,,68,"67,6%",27,"48,1%",,,,,,,,,4,24,11,14,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/22-prozent-mehr-neue-studenten-als-im-vorjahr.html
2007,2464,477,53%,,185,70%,120,23%,19,21,63,16,,,83,70%,43,49%,46,41%,,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/215-prozent-mehr-neue-studierende-als-im-vorjahr.html
2008,2546,484,53%,,192,68%,116,19%,14,13,65,19,,,80,77%,35,57%,61,38%,,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/start-ins-neue-semester-an-der-universitaet-luebeck.html
2009,2751,513,"53,8%",,195,"70,8%",116,"19,8%",,,,,,,83,"67,5%",36,75%,83,"38,6%",,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/die-universitaet-luebeck-begruesst-560-neue-studentinnen-und-studenten.html
2010,,525,55%,,198,70%,121,21%,,,,,,,81,64%,35,71%,90,41%,,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/die-universitaet-luebeck-begruesst-525-neue-studentinnen-und-studenten.html
2011,3142,631,49%,,191,,162,,,,,,,,81,,47,,95,,55,,,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/universitaet-luebeck-begruesst-585-neue-studierende.html
2012,3357,618,"52,9%",5%,185,"68,6%",132,"16,7%",,,,,,,84,"73,8%",65,"46,2%",93,"51,6%",59,"45,8%",,,,,,,,,,http://www.uni-luebeck.de/aktuelles/nachricht/artikel/die-universitaet-luebeck-begruesst-ueber-600-neue-studentinnen-und-studenten.html
2013,3473,635,"58,3%",,184,,116,,,,,,,,81,,57,,95,,61,,41,,212,88,,,,,,http://www.uni-luebeck.de/studium/aktuelles-zum-studium/aktuelles-zum-studium/artikel/universitaet-luebeck-begruesst-635-neue-studentinnen-und-studenten.html
