Name,Bundesland,Staatlich?,Darf promotionen austellen,Gründungsjahr,Studenten,Zählung Semester
RWTH Aachen,NRW NRW,staatlich,ja,1870,42.300,2014/15 (WS)
Universität Augsburg,BY BY,staatlich,ja,1970,19.927,2014/15 (WS)
Otto-Friedrich-Universität Bamberg,BY BY,staatlich,ja,1647,12.023,2012/13 (WS)
Universität Bayreuth,BY BY,staatlich,ja,1975,11.348,2012/13 (WS)
Freie Universität Berlin,BE BE,staatlich,ja,1948,35.713,2014/15 (WS)
Humboldt-Universität zu Berlin,BE BE,staatlich,ja,1810,33.540,2014/15 (WS)
Technische Universität Berlin,BE BE,staatlich,ja,1770,32.752,2014/15 (WS)
Universität der Künste Berlin,BE BE,staatlich,ja,1696,3.447,2012/13 (WS)
Universität Bielefeld,NRW NRW,staatlich,ja,1969,19.785,2012/13 (WS)
Ruhr-Universität Bochum,NRW NRW,staatlich,ja,1962,42.718,2014/15 (WS)
Rheinische Friedrich-Wilhelms-Universität Bonn,NRW NRW,staatlich,ja,1818,30.376,2012/13 (WS)
Hochschule für Bildende Künste Braunschweig,NI NI,staatlich,ja,1963,1.065,2012/13 (WS)
Technische Universität Braunschweig,NI NI,staatlich,ja,1745,17.129,2013/14 (WS)
Universität Bremen,HB HB,staatlich,ja,1971,19.234,2013/14 (WS)
Technische Universität Chemnitz,SN SN,staatlich,ja,1836,11.231,2013/14 (WS)
Technische Universität Clausthal,NI NI,staatlich,ja,1775,4.877,2014/15 (WS)
Brandenburgische Technische Universität Cottbus-Senftenberg,BB BB,staatlich,ja,2013,10.310,2012/13 (WS)
Technische Universität Darmstadt,HE HE,staatlich,ja,1877,25.100,2013/14 (WS)
Hochschule für Musik Detmold,NRW NRW,staatlich,ja,1946,646,2012/13 (WS)
Technische Universität Dortmund,NRW NRW,staatlich,ja,1968,31.500,2013/14 (WS)
Hochschule für Bildende Künste Dresden,SN SN,staatlich,ja,1764,599,2012/13 (WS)
Hochschule für Musik Carl Maria von Weber Dresden,SN SN,staatlich,ja,1856,554,2012/13 (WS)
Palucca Hochschule für Tanz Dresden,SN SN,staatlich,ja,1925,164,2012/13 (WS)
Technische Universität Dresden,SN SN,staatlich,ja,1828,37.134,2013/14 (WS)
Universität Duisburg-Essen,NRW NRW,staatlich,ja,1972,41.065,2014/15 (WS)
Heinrich-Heine-Universität Düsseldorf,NRW NRW,staatlich,ja,1965,30.155,2014/15 (WS)
Kunstakademie Düsseldorf,NI NRW,staatlich,ja,1773,608,2012/13 (WS)
Robert-Schumann-Hochschule Düsseldorf,NI NRW,staatlich,ja,1972,890,2012/13 (WS)
Universität Erfurt,TH TH,staatlich,ja,1389,5.598,2012/13 (WS)
Friedrich-Alexander-Universität Erlangen-Nürnberg,BY BY,staatlich,ja,1742,39.085,2014/15 (WS)
