University,Year,Founding Year,City,Federal State,Wahlmonat,Members,Voter Turnout,Absolut Voters,Nation,Source,Old/New Fed State,Quelle,
Universität zu Lübeck,1983,1964,Lübeck,Schleswig Holstein,Juni,2000,47,940,Deutschland,,AB,,
Universität zu Lübeck,1989,1964,Lübeck,Schleswig Holstein,Juni,1246,26.2,326,Deutschland,,AB,,
Universität zu Lübeck,1990,1964,Lübeck,Schleswig Holstein,Juni,,25.52,,Deutschland,,AB,,
Universität zu Lübeck,1993,1964,Lübeck,Schleswig Holstein,Juni,,,0,Deutschland,,AB,,
Universität zu Lübeck,1994,1964,Lübeck,Schleswig Holstein,Juni,,,0,Deutschland,,AB,,
Universität zu Lübeck,1995,1964,Lübeck,Schleswig Holstein,Juni,,,0,Deutschland,,AB,,
Universität zu Lübeck,1996,1964,Lübeck,Schleswig Holstein,Juni,,,0,Deutschland,,AB,,
Universität zu Lübeck,1997,1964,Lübeck,Schleswig Holstein,Juni,,,0,Deutschland,,AB,,
Universität zu Lübeck,1998,1964,Lübeck,Schleswig Holstein,Juni,,22,0,Deutschland,,AB,,
Universität zu Lübeck,1999,1964,Lübeck,Schleswig Holstein,Juni,2193,23.3,511,Deutschland,Prokokoll des Wahlausschusses im Archiv des AStA,AB,,
Universität zu Lübeck,2000,1964,Lübeck,Schleswig Holstein,Juni,1864,24.8,462,Deutschland,,AB,,
Universität zu Lübeck,2001,1964,Lübeck,Schleswig Holstein,Juni,2000,,0,Deutschland,,AB,,
Universität zu Lübeck,2002,1964,Lübeck,Schleswig Holstein,Juni,2272,,0,Deutschland,,AB,,
Universität zu Lübeck,2003,1964,Lübeck,Schleswig Holstein,Juni,2200,,0,Deutschland,,AB,,
Universität zu Lübeck,2004,1964,Lübeck,Schleswig Holstein,Juni,2200,,0,Deutschland,,AB,,
Universität zu Lübeck,2005,1964,Lübeck,Schleswig Holstein,Juni,2289,25.1,575,Deutschland,,AB,,
Universität zu Lübeck,2006,1964,Lübeck,Schleswig Holstein,Juni,2233,24.9,556,Deutschland,,AB,https://web.archive.org/web/20060825020025/http://www.asta.uni-luebeck.de/fileadmin/infothek/Wahlergebniss_Studierendenschaft2006.pdf,
Universität zu Lübeck,2007,1964,Lübeck,Schleswig Holstein,Juni,2200,23.5,517,Deutschland,,AB,,
Universität zu Lübeck,2008,1964,Lübeck,Schleswig Holstein,Juni,2300,43,989,Deutschland,,AB,,
Universität zu Lübeck,2009,1964,Lübeck,Schleswig Holstein,Juni,2334,42.6,994,Deutschland,,AB,,
Universität zu Lübeck,2010,1964,Lübeck,Schleswig Holstein,Juni,2500,44.5,1113,Deutschland,,AB,,
Universität zu Lübeck,2011,1964,Lübeck,Schleswig Holstein,Juni,2772,30.03,832,Deutschland,,AB,http://www.studentenpack.uni-luebeck.de/index.php/2011/06/wahlergebnisse-der-studentischen-gremienwahl-2011/,
Universität zu Lübeck,2012,1964,Lübeck,Schleswig Holstein,Juli,2791,35.2,982,Deutschland,,AB,http://www.studentenpack.uni-luebeck.de/index.php/2012/06/ergebnis-der-studentischen-gremienwahlen-2012/,
Universität zu Lübeck,2013,1964,Lübeck,Schleswig Holstein,Juli,3089,29.26,904,Deutschland,,AB,http://www.studentenpack.uni-luebeck.de/index.php/2013/06/ergebnisse-der-studentischen-gremienwahlen-2013/,
Universität zu Lübeck,2014,1964,Lübeck,Schleswig Holstein,Juni,3265,25.8,842,Deutschland,,AB,http://www.studentenpack.de/index.php/2014/06/ergebnisse-der-studentischen-gremienwahlen-2014/,
Universität zu Lübeck,2015,1964,Lübeck,Schleswig Holstein,Juni,3509,25.2,884,Deutschland,,AB,http://www.studentenpack.de/index.php/2015/07/ergebnisse-der-studentischen-gremienwahlen-2015/,
