University,Year,Founding Year,City,Federal State,Wahlmonat,Members,Voter Turnout,Absolut Voters,Nation,Source,Old/New Fed State,Quelle,
Albert-Ludwigs-Universität Freiburg,2001,1457,Freiburg,Baden Württemberg,Juni,19600,16,3136,Deutschland,,AB,http://www.asta.uni-freiburg.de/wahlergebnissea,
Albert-Ludwigs-Universität Freiburg,2002,1457,Freiburg,Baden Württemberg,Juni,19600,11.5,2254,Deutschland,,AB,http://www.asta.uni-freiburg.de/wahlergebnissea,
Albert-Ludwigs-Universität Freiburg,2003,1457,Freiburg,Baden Württemberg,Juni,19600,14.2,2783,Deutschland,,AB,http://www.asta.uni-freiburg.de/wahlergebnissea,
Albert-Ludwigs-Universität Freiburg,2004,1457,Freiburg,Baden Württemberg,Juni,19600,16.4,3214,Deutschland,,AB,http://www.asta.uni-freiburg.de/wahlergebnissea,
Albert-Ludwigs-Universität Freiburg,2005,1457,Freiburg,Baden Württemberg,Juni,19600,13.9,2724,Deutschland,,AB,http://www.asta.uni-freiburg.de/wahlergebnissea,
Albert-Ludwigs-Universität Freiburg,2006,1457,Freiburg,Baden Württemberg,Juni,19600,13.37,2621,Deutschland,,AB,http://www.asta.uni-freiburg.de/wahlergebnissea,
Albert-Ludwigs-Universität Freiburg,2007,1457,Freiburg,Baden Württemberg,Juni,19600,13.37,2621,Deutschland,,AB,http://www.asta.uni-freiburg.de/wahlergebnissea,
Albert-Ludwigs-Universität Freiburg,2008,1457,Freiburg,Baden Württemberg,Juni,19600,13.85,2715,Deutschland,,AB,http://www.asta.uni-freiburg.de/wahlergebnissea,
Albert-Ludwigs-Universität Freiburg,2009,1457,Freiburg,Baden Württemberg,Juni,19687,13.56,2670,Deutschland,,AB,http://www.asta.uni-freiburg.de/wahlergebnissea,
Albert-Ludwigs-Universität Freiburg,2010,1457,Freiburg,Baden Württemberg,Juni,19599,15.42,3022,Deutschland,,AB,http://www.uni-freiburg.de/universitaet/organisation/gremien/wahlen,
Albert-Ludwigs-Universität Freiburg,2011,1457,Freiburg,Baden Württemberg,Juli,21622,16.09,3479,Deutschland,,AB,http://www.zuv.uni-freiburg.de/aktuelles/amtliche_bekanntmachungen/ab-2011-72.pdf/at_download/file,
